"","id","title","type","description","release_year","age_certification","runtime","genres","production_countries","seasons","imdb_id","imdb_score","imdb_votes"
"3158","tm982018","A Trash Truck Christmas","MOVIE","When Santa crash-lands in the junkyard on Christmas Eve, Hank, Trash Truck and their animal friends all have a hand in rescuing the holiday for everyone.",2020,"G",28,"['animation', 'comedy', 'family']","['US']",NA,"tt13458584",5.5,212
"3159","ts223098","Lugar de Mulher","SHOW","Four comedians from Brazil joke about sexuality, politics, religion and motherhood - and show that the woman's place is wherever she wants to be.",2019,"",15,"['comedy']","['BR']",1,"tt11215186",4.7,35
"3160","ts233732","Mighty Little Bheem: Festival of Colors","SHOW","From surprising stage performances to spraying colors with friends, join baby Bheem for all his Holi hijinks during the special spring festival.",2020,"",6,"['animation', 'comedy']","[]",1,"tt11738790",7.2,37
"3161","tm885948","Yours Sincerely, Kanan Gill","MOVIE","Revisiting life goals set in a letter written as a teen to his future self, comedian Kanan Gill reports back on if he's lived up to his own expectations.",2020,"",72,"['comedy']","['IN']",NA,"tt12055392",7.2,948
"3162","tm475815","The Zoya Factor","MOVIE","An advertising agency executive Zoya Singh Solanki meets the Indian cricket team and ends up becoming their lucky charm at the 2011 Cricket World Cup.",2019,"",134,"['romance', 'sport', 'comedy', 'drama']","['IN']",NA,"tt8304386",4.2,2378
"3163","tm435836","Mere Pyare Prime Minister","MOVIE","A story about four children living in a Mumbai slum in India. An eight-year old Kanhu writes a letter to the Prime Minister after a dramatic incident with his mother.",2019,"",104,"['drama']","['IN']",NA,"tt8207768",6.8,635
"3164","tm812783","Daniel Sosa: Maleducado","MOVIE","In his second comedy special, Daniel Sosa reflects on his childhood, Mexican traditions and the problem with the movie Coco.",2019,"",54,"['comedy']","[]",NA,"tt10438652",6.1,71
"3165","ts89679","A Thousand Goodnights","SHOW","To carry out her dad's wish and discover her roots, Dai Tian-qing embarks on a journey around Taiwan and finds love and redemption on the way.",2019,"",84,"['drama']","['TW']",1,"tt10370952",8,93
"3166","tm824566","Ibrahim: A Fate to Define","MOVIE","In this provocative and personal documentary, director Lina Al Abed searches for traces of her disappeared father: a seemingly ordinary Palestinian family man who was actually a secret member of a militant splinter faction and vanished when she was just a child.",2019,"",75,"['documentation']","['PS', 'DK', 'LB']",NA,"tt10777716",7.5,29
"3167","tm813075","To Be of Service","MOVIE","A documentary film about veterans with PTSD who find that, after other treatments fall short, a service dog helps them return to an independent-feeling life.",2019,"",88,"['documentation']","['US']",NA,"tt10413458",7.3,90
"3168","tm893510","What are the Odds?","MOVIE","A drama film directed by Megha Ramaswamy, starring Priyanka Bose, Manu Rishi Chadha and Yashaswini Dayama in the lead roles.",2019,"",92,"['drama', 'music', 'documentation']","['IN']",NA,"tt12327140",5.3,832
"3169","tm847630","The App","MOVIE","Loving girlfriend, family fortune, breakout movie role: he's got it all. Until an app awakens a powerful new yearning. While in Rome to shoot his first movie, actor and industrial heir Niccolò becomes obsessed with the dating app ""US"" that sends him into a self-destructive spiral.",2019,"",79,"['scifi', 'thriller', 'drama']","['IT']",NA,"tt11385066",2.7,1329
"3170","tm977772","40 Sticks","MOVIE","A group of prisoners trapped in a crashed prison bus strive to stay alive when they realize there is a mysterious killer lurking in the shadows.",2020,"",93,"['thriller', 'crime']","[]",NA,"tt13483050",6.7,99
