"","person_id","id","name","character","role"
"203",35196,"tm67378","Lee Marvin","Fardan","ACTOR"
"204",24126,"tm67378","Robert Ryan","Ehrengard","ACTOR"
"205",36499,"tm67378","Woody Strode","Jake","ACTOR"
"206",16444,"tm67378","Jack Palance","Jesus Raza","ACTOR"
"207",16488,"tm67378","Claudia Cardinale","Maria","ACTOR"
"208",12463,"tm67378","Ralph Bellamy","Grant","ACTOR"
"209",62767,"tm67378","Joe De Santis","Ortega","ACTOR"
"210",62768,"tm67378","Rafael Bertrand","Fierro","ACTOR"
"211",62769,"tm67378","Jorge Martínez de Hoyos","Padilla","ACTOR"
"212",62770,"tm67378","Marie Gomez","Chiquita","ACTOR"
"213",57746,"tm67378","José Chávez","Revolutionary","ACTOR"
"214",127918,"tm67378","Carlos Romero","Revolutionary","ACTOR"
"215",23699,"tm67378","Vaughn Taylor","Banker","ACTOR"
"216",534965,"tm67378","Elizabeth Campbell","Mexican Girl (uncredited)","ACTOR"
"217",1461646,"tm67378","Don Carlos","Bandit (uncredited)","ACTOR"
"218",58919,"tm67378","Leigh Chapman","Lady (uncredited)","ACTOR"
"219",80218,"tm67378","Roberto Contreras","Bandit (uncredited)","ACTOR"
"220",2209884,"tm67378","Dirk Evans","Man at Door (uncredited)","ACTOR"
"221",539684,"tm67378","Darwin Lamb","Hooper (uncredited)","ACTOR"
"222",227842,"tm67378","Eddie Little Sky","Jake's Prisoner (uncredited)","ACTOR"
"223",2209736,"tm67378","John Lopez","Mexican Servant (uncredited)","ACTOR"
"224",101889,"tm67378","John McKee","Sheriff (uncredited)","ACTOR"
"225",534354,"tm67378","Philip L. Parslow","Deputy Sheriff (uncredited)","ACTOR"
"226",650832,"tm67378","Ron Veto","Mexican Soldier (uncredited)","ACTOR"
"227",23705,"tm67378","Richard Brooks","","DIRECTOR"
"228",26761,"tm69778","Yasuo Yamada","Arsene Lupin III (voice)","ACTOR"
"229",26762,"tm69778","Eiko Masuyama","Fujiko Mine (voice)","ACTOR"
"230",26764,"tm69778","Kiyoshi Kobayashi","Daisuke Jigen (voice)","ACTOR"
"231",26765,"tm69778","Gorō Naya","Inspector Zenigata (voice)","ACTOR"
"232",26766,"tm69778","Sumi Shimamoto","Lady Clarisse de Cagliostro (voice)","ACTOR"
"233",26767,"tm69778","Tarô Ishida","Count Cagliostro (voice)","ACTOR"
"234",26769,"tm69778","Akio Nojima","Japanese Delegate (voice)","ACTOR"
"235",26768,"tm69778","Eken Mine","Archbishop's Driver (voice)","ACTOR"
"236",26770,"tm69778","Ichirō Nagai","Jodo (voice)","ACTOR"
"237",26771,"tm69778","Junkichi Yarita","Soviet Delegate (voice)","ACTOR"
"238",26772,"tm69778","Kinpei Azusa","Archbishop (voice)","ACTOR"
"239",26773,"tm69778","Kōhei Miyauchi","Gardener (voice)","ACTOR"
"240",26774,"tm69778","Mikio Terashima","German Delegate (voice)","ACTOR"
"241",26775,"tm69778","Minoru Midorikawa","Servant (voice)","ACTOR"
"242",25342,"tm69778","Osamu Saka","British Delegate (voice)","ACTOR"
"243",26776,"tm69778","Shigeharu Matsuda","Saitama Riot Police Captain (voice)","ACTOR"
"244",26778,"tm69778","Shozo Hirabayashi","Interpol Chief (voice)","ACTOR"
"245",26777,"tm69778","Tadamichi Tsuneizumi","Gustav (voice)","ACTOR"
"246",26779,"tm69778","Yoko Yamaoka","Waitress (voice)","ACTOR"
"247",94767,"tm69778","Makio Inoue","Goemon Ishikawa XIII (voice)","ACTOR"
"248",26781,"tm69778","Hayao Miyazaki","","DIRECTOR"
"249",25707,"tm69997","Richard Pryor","Himself","ACTOR"
"250",191724,"tm69997","Jennifer Lee Pryor","Herself (uncredited)","ACTOR"
